text,sentiment_score,used_tokens
"RT @WritingReader: We don't make mistakes, just happy little accidents.- Bob Ross #art #artist #ArtsEd #creativity #quote",0.7013,0.23529411764705882
"RT @nytimes: 2 men have been arrested for streaming videos of 1,600 unsuspecting motel guests across South Korea. Tiny hidden cameras were…",-0.4767,0.047619047619047616
RT @mashable: 'Toybox' is a 3D printer for kids https://t.co/Oci51fMEZF,0.0,0.0
"RT @washingtonpost: A Texas man found a ""few"" rattlesnakes under his home. Watch a snake catcher remove 45. https://t.co/waFn67OXwj",0.0,0.0
"RT @BBCWorld: ""If IS is guilty why are children being punished?""

Russia has halted the repatriation of women who fled to join Islamic Stat…",-0.1531,0.08333333333333333
"RT @washingtonpost: Can Brexit be stopped? 800,000 people are trying so hard that parliament’s website is broken. https://t.co/cBpnrm78bl",-0.7065,0.2222222222222222
"RT @washingtonpost: Ronald Reagan’s daughter says her father would be ""horrified"" by Trump’s presidency https://t.co/5XFlIucvOE",0.0,0.0
RT @nytimes: Serial sex offenders are a problem on subways. Should they be banned for life? https://t.co/fvSNdWBcMn,-0.802,0.1875
"RT @BBCWorld: Last supermoon of 2019 seen around the world 🌕   

https://t.co/Gc1wIcvZOp https://t.co/SSRIPS7MV2",0.0,0.0
"RT @subselfie: Latest from https://t.co/ftgc7ibKlm: For a millennial journalist, the world has not really changed for minorities. Filipinos…",0.0,0.11764705882352941
RT @subselfie: A Filipina in the Time of Walang Ligo https://t.co/aImlvdKXth https://t.co/bNDM4dBg3n,0.0,0.0
RT @randomridgeness: FILIPINO BREAKFAST BE LIKE 🤤🤤: https://t.co/PfViwxuWgz,0.4995,0.125
RT @mashable: Panasonic Lumix LX100 II Review: A fantastic point-and-shoot camera for a steep price https://t.co/1dLIHOMavl,0.5574,0.07142857142857142
RT @washingtonpost: Secrecy surrounds talk of choosing a successor to Iran’s supreme leader https://t.co/ggbuIHmHAD,0.6705,0.15384615384615385
RT @dodo: She'd been alone for 43 years 💔 https://t.co/YnbjloArRM,-0.25,0.1111111111111111
"RT @mashable: Spider silk may look delicate, but it's one of nature's strongest materials https://t.co/wwchs4Xd9G",0.6059,0.13333333333333333
RT @washingtonpost: Analysis: New Zealand just banned military-style firearms. Here’s why the U.S. can’t. https://t.co/hAhsBYRR3y,-0.4588,0.06666666666666667
"RT @WritingReader: As #artists, we are eternally heartbroken.- Lady Gaga #writerslife #writing #artist #poet quote",0.0,0.0
@inquirerdotnet @MAgerINQ Reason why Duterte took Misuari out of mothballs. To scare us into federalism.… https://t.co/NuKl7AmOQB,-0.4939,0.0625
"RT @chiarazambrano: Definition of fake news, something we need to make clear: it is the DELIBERATE presentation of claims, INTENTIONALLY DE…",-0.128,0.09523809523809523
"@chiarazambrano @ABSCBNNews Churchill believed that ""in wartime, truth is so precious that she should be attended to by a bodyguard of lies.",0.5413,0.19047619047619047
